coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date,source_file,liquidity_ratio,price_ma_3,price_ma_5,vol_3d,lr_ema_3
Bancor Network Token,BNT,2.32,0.005,0.013,0.011,18087546.0,595471450.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0303751691201987,2.3049999999999997,2.3049999999999997,0.021213203435596444,0.037564404764500445
Band Protocol,BAND,3.62,0.027,0.05,0.043,25806815.0,149778191.0,2022-03-16,coin_gecko_2022-03-16.csv,0.1723002182607479,3.62,3.62,,0.1723002182607479
Band Protocol,BAND,3.57,0.001,-0.012,-0.043,14710862.0,148621625.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0989819752004461,3.5949999999999998,3.5949999999999998,0.03535533905932741,0.135641096730597
Basic Attention Token,BAT,0.822605,0.021,0.055,0.251,324813983.0,1223583998.0,2022-03-16,coin_gecko_2022-03-16.csv,0.2654611236587944,0.822605,0.822605,,0.2654611236587944
Basic Attention Token,BAT,0.851143,0.002,0.035,0.241,207580189.0,1275120629.0,2022-03-17,coin_gecko_2022-03-17.csv,0.1627925894060647,0.836874,0.836874,0.02017941332150166,0.21412685653242952
Beefy.Finance,BIFI,1455.73,0.012,0.047,-0.059,1429792.0,112999254.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0126531100815939,1455.73,1455.73,,0.0126531100815939
Beefy.Finance,BIFI,1462.88,-0.004,0.005,-0.093,1404924.0,114334270.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0122878643472337,1459.305,1459.305,5.055813485483879,0.0124704872144138
Beldex,BDX,0.101366,0.018,0.013,0.44,172723.0,152144019.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0011352598750529,0.101366,0.101366,,0.0011352598750529
Beldex,BDX,0.09810351345,0.005,-0.0289999999999999,0.3779999999999999,270960.0,147183281.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0018409699672342,0.099734756725,0.099734756725,0.0023069263630349037,0.00148811492114355
Beta Finance,BETA,0.387492,0.019,0.012,-0.072,18604900.0,138948965.0,2022-03-16,coin_gecko_2022-03-16.csv,0.1338973629634449,0.387492,0.387492,,0.1338973629634449
Beta Finance,BETA,0.390171,0.001,0.0069999999999999,-0.087,16200954.0,140529092.0,2022-03-17,coin_gecko_2022-03-17.csv,0.1152854100843404,0.3888315,0.3888315,0.0018943390667987515,0.12459138652389265
Bezoge Earth,BEZOGE,3.051e-09,0.012,-0.005,-0.0409999999999999,189402.0,132913608.0,2022-03-16,coin_gecko_2022-03-16.csv,0.001425000817072,3.051e-09,3.051e-09,,0.001425000817072
Bezoge Earth,BEZOGE,2.984e-09,-0.004,-0.022,-0.177,176270.0,130736810.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0013482813294893,3.0175e-09,3.0175e-09,4.7376154339498593e-11,0.0013866410732806499
Biconomy,BICO,1.31,0.012,0.077,0.035,29389338.0,151360962.0,2022-03-16,coin_gecko_2022-03-16.csv,0.1941672252320912,1.31,1.31,,0.1941672252320912
Biconomy,BICO,1.29,-0.006,-0.018,-0.0,30433864.0,147807938.0,2022-03-17,coin_gecko_2022-03-17.csv,0.2059014178250697,1.3,1.3,0.014142135623730963,0.20003432152858047
Bifrost,BFC,0.149179,0.013,0.017,0.01,1366910.0,157313585.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0086890779330977,0.149179,0.149179,,0.0086890779330977
Bifrost,BFC,0.149851,-0.0,0.005,-0.026,1897563.0,159291451.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0119125225370694,0.149515,0.149515,0.00047517575695736413,0.010300800235083549
Binance USD,BUSD,1.0,-0.002,0.002,0.002,4039490120.0,17975175881.0,2022-03-16,coin_gecko_2022-03-16.csv,0.2247260414441783,1.0,1.0,,0.2247260414441783
Binance USD,BUSD,0.999538,-0.001,-0.002,-0.001,3713594658.0,17812484632.0,2022-03-17,coin_gecko_2022-03-17.csv,0.2084826869873366,0.999769,0.999769,0.00032668333290815837,0.21660436421575746
Biswap,BSW,0.357696,0.019,0.042,0.149,5174312.0,80023062.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0646602600635301,0.357696,0.357696,,0.0646602600635301
Biswap,BSW,0.355954,0.002,-0.002,0.0579999999999999,4931153.0,80314265.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0613982211005728,0.356825,0.356825,0.0012317800128269808,0.06302924058205145
BitDAO,BIT,1.12,0.025,0.019,0.036,54570658.0,993438990.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0549310612421201,1.12,1.12,,0.0549310612421201
BitDAO,BIT,1.14,0.003,0.012,0.001,42339293.0,1011521016.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0418570571745787,1.13,1.13,0.014142135623730885,0.048394059208349396
BitTorrent,BTT,1.812224e-06,0.0069999999999999,0.022,0.003,87836205.0,1675881629.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0524119385761224,1.812224e-06,1.812224e-06,,0.0524119385761224
BitTorrent,BTT,1.826877e-06,0.002,0.009,-0.017,72096087.0,1685671515.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0427699503482444,1.8195505e-06,1.8195505e-06,1.0361235664726569e-08,0.0475909444621834
Bitcoin,BTC,40859.46,0.022,0.03,0.055,35390763321.0,770991461396.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0459029251204929,40859.46,40859.46,,0.0459029251204929
Bitcoin,BTC,40851.38,0.001,0.0,-0.027,20476118020.0,776077432316.0,2022-03-17,coin_gecko_2022-03-17.csv,0.026384117315323,40855.42,40855.42,5.713422791988539,0.036143521217907947
Bitcoin Cash,BCH,295.57,0.018,0.015,0.039,1378527955.0,5613130722.0,2022-03-16,coin_gecko_2022-03-16.csv,0.2455898540892737,295.57,295.57,,0.2455898540892737
Bitcoin Cash,BCH,297.65,0.002,0.006,-0.035,1192569491.0,5652413614.0,2022-03-17,coin_gecko_2022-03-17.csv,0.2109841162448237,296.61,296.61,1.4707821048679874,0.2282869851670487
Bitcoin Diamond,BCD,0.515751,0.008,0.025,-0.016,823683.0,96592411.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0085274090528706,0.515751,0.515751,,0.0085274090528706
